_id,title,description,duration,definition,publishedAt,madeForKids,category_id,tags,views
aHfQQsoQx-Q,INI KISAH NYATA! DESA INI LENYAP DALAM SATU MALAM‼️ RITUAL SEX ANEH MEREKA ADALAH.. RJL 5 - PODCAST,"#horrorstories #podcast #rjl5 #misteri
Kisah sebuah desa di Indonesia yang lenyap dalam satu malam, RJL 5 mencari fakta itu.. Dan ia menemukan sebuah bukti mengerikan.",PT53M20S,hd,2023-09-06T04:27:05Z,False,24,"['RJL 5', 'horor', 'misteri', 'santet', 'ceritaseram', 'setan', 'ceritahoror', 'kuntilanak', 'pontianak', 'kalimantan', 'legenda', 'kisah', 'tuyul', 'pocong', 'gendruwo', 'siluman']",3348688
Qbu8YW9zoIQ,BONGKAR FAKTA BARU‼️INI SINDIKAT!? KAMI DIMINTA IKHLAS‼️- BAYI YG TERTUKAR - Podcast,#bayi #tertukar #podcast,PT48M21S,hd,2023-09-05T04:20:00Z,False,24,"['Anak', 'Bayi', 'Rumah sakit', 'Cewe', 'Jahat', 'Cantik', 'Sedih', 'Nangis', 'TERTUKAR', 'Aneh', 'Seram', 'Polisi']",2545919
iXpIP5UFsP8,"DISENSOR GAK YAA.. GAK USAH DEH🤣🤣🤣 - Cing ABDEL, Temon dan Petaka‼️🤣",#ormas #podcast #komedi,PT38M56S,hd,2023-09-03T02:30:30Z,False,24,"['Cing Abdel', 'Abdel', 'Temon', 'Abdel Temon', 'Uus', 'Awwe', 'Deddy Corbuzier', 'ORMAS', 'Podcast', 'Lucu', 'Debat', 'Nikah', 'seks', 'Percintaan', 'Agama', 'Polusi', 'Mamah Dedeh', 'Mamah Dan Aa', 'Indosiar']",1435443
4-AOLWxwCtA,ADA SETAN JADI J4BL4Y DI THAILAND🤣🤣 ANEH EMANG‼️ - Praz Teguh - Jirayut,#prazteguh #jirayut #dangdut,PT48M45S,hd,2023-09-02T01:46:00Z,False,24,"['Jirayut', 'PrazTeguh', 'Deddy Corbuzier', 'Dangdut', 'Thailand', 'Lucu', 'Podcast', 'komedi', 'islam', 'mainan', 'kocak']",1542191
uwdclYrvBp8,POLISI PALING ANEH YANG GUE TAU‼️🤣- HEBAT LOE BRO‼️🤣🤣 - Purnomo Belajar Baik - Podcast,#polisi #lucu #podcast,PT56M49S,hd,2023-08-31T04:30:17Z,False,24,"['Polisi', 'Lucu', 'Baik', 'Korupsi', 'Aneh', 'Purnomo', 'Keren', 'Hebat']",3878554
PNbkMfg827w,"UANG BERKUASA‼️KPK, POLISI TAKUT⁉️INI PEJABAT KEBAL⁉️MAU TAU HARTA DIA⁉️Kamaruddin Bicara!",#kamaruddinsimanjuntak #korupsi #podcast,PT1H5M4S,hd,2023-08-30T04:20:00Z,False,24,"['Kamaruddin', 'Kamarudin', 'KPK', 'Korupsi', 'Wanita', 'Cewe', 'Istri', 'Marah', 'Uang', 'Hukum', 'Harta', 'Heboh', 'Viral', 'Ribut', 'Anak', 'Polisi', 'Negara', 'Pengacara', 'Keadilan', 'Cerai', 'Kaya']",3315945
PGrEmsCQKE8,"Gue harus kuat buat anak istri, Barang gue jual2in.. GUE HARUS OK! - BABE CABITA- Podcast",#babecabita #sakit #podcast,PT59M24S,hd,2023-08-29T04:20:00Z,False,24,"['Babe cabita', 'Sedih', 'Sakit', 'anak', 'Istri', 'Keluarga', 'Uang', 'Duit', 'Lucu', 'Komedi', 'Kritis']",1747791
o1glnT4PAhQ,LOH GAK BAHAYA TAH⁉️🤣 Dari Bu Mega sampai Pak Coki.. - ORMAS - Deddy Corbuzier Podcast.,#ormas #coki #podcast,PT36M54S,hd,2023-08-26T01:46:00Z,False,24,"['KPK', 'Deddy Corbuzier', 'Podcast', 'Onadio', 'COkiPardede', 'Uus', 'AdrianoKolbi', 'debat', 'lucu', 'komedi', 'megawati', 'pdip', 'ikn', 'polusi', 'koruptor', 'Coki pardede', 'Tretan muslim', 'MLI']",1775907
TpWGtIKJpPQ,"SAYA DIMINTA KETEMU HABIB UMAR‼️ADA APA, APA AMAL IBADAH SAYA⁉️- Habib Jafar - Podcast",#habibumar #habibjafar #podcast,PT1H26M13S,hd,2023-08-24T04:20:00Z,False,24,"['Habib Omar', 'Habib Jafar', 'Amal ibadah', 'ISLAM', 'Agama', 'Habib']",4863612
A8aiKhkiXZM,ECA AURA.. Aku tertawa tapi Hati kadang Menangis..🥹😭- Kisah dibalik tawa - Deddy Corbuzier Podcast,#ecaaura #sedih #podcast,PT40M8S,hd,2023-08-23T04:20:00Z,False,24,"['ECA AURA', 'Lapor pak', 'Surya', 'Surya insomnia', 'Komedi', 'Lucu', 'Ngakak', 'Cewe', 'Cantik']",2362007
